Product,Brand,Batch,Mfg,Exp,Packing,Units,Loose,Stock (kg),Location,Reservation by ,Reserved Qty ,Date ,Status
,,,,,,,,,,,,,
LIME OIL TOP GRADE 21004,CAPUA,25/04/2048,29.5.2025,29.5.2027,50,1,,50,F1C1,,,,
LIME OIL TOP GRADE 21004,CAPUA,25/04/2048,29.5.2025,29.5.2027,,1,1.62,1.62,F1C1,,,,
,,,,,,,,,,,,,
CEDRAT OIL 16980,CAPUA,25/04/2043,29.5.2025,29.5.2027,50,1,,50,F1C1,,,,
,,,,,,,,,,,,,
MANDARIN OIL RED (21004),CAPUA,25/02651,17.4.2025,17.4.2027,25,1,,25,F1C1,,,,
MANDARIN OIL RED (21004),CAPUA,25/02651,17.4.2025,17.4.2027,,2,5,10,F1C1,,,,
MANDARIN OIL RED (21004),CAPUA,25/02651,17.4.2025,17.4.2027,,2,1,2,F1C1,,,,
MANDARIN OIL RED (21004),CAPUA,25/02651,17.4.2025,17.4.2027,,1,0.38,0.38,F1C1,,,,
,,,,,,,,,,,,,
MANDARIN OIL ITALY TOP GRADE (21002),CAPUA,25/04303,4.7.2025,4.7.2027,25,1,,25,F1C1,,,,
MANDARIN OIL ITALY TOP GRADE (21002),CAPUA,25/04303,4.7.2025,4.7.2027,,3,5,15,F1C1,,,,
MANDARIN OIL ITALY TOP GRADE (21002),CAPUA,25/04303,4.7.2025,4.7.2027,,1,0.87,0.87,F1C1,,,,
MANDARIN OIL ITALY TOP GRADE (21002),CAPUA,25/04151,29.5.2025,29.5.2027,,1,1,1,F1C1,,,,
MANDARIN OIL ITALY TOP GRADE (21002),CAPUA,25/04151,29.5.2025,29.5.2027,,1,0.23,0.23,F1C1,,,,
,,,,,,,,,,,,,
BERGOMOT OIL ITALY TOP GRADE (21002),CAPUA,25/04515,7.11.2025,7.11.2027,50,3,,150,F1C1,,,,
BERGOMOT OIL ITALY TOP GRADE (21002),CAPUA,25/04515,7.11.2025,7.11.2027,,5,4,20,F1C1,,,,
BERGOMOT OIL ITALY TOP GRADE (21002),CAPUA,25/04515,7.11.2025,7.11.2027,,1,3,3,F1C1,,,,
BERGOMOT OIL ITALY TOP GRADE (21002),CAPUA,25/04515,7.11.2025,7.11.2027,,1,0.07,0.07,F1C1,,,,
,,,,,,,,,,,,,
SICILION ORANGE OIL 20 FOLD (21396),CAPUA,25/04155,29.5.2025,29.5.2027,25,1,,25,F1C1,,,,
SICILION ORANGE OIL 20 FOLD (21396),CAPUA,25/04155,29.5.2025,29.5.2027,,3,5,15,F1C1,,,,
SICILION ORANGE OIL 20 FOLD (21396),CAPUA,25/04155,29.5.2025,29.5.2027,,1,4.55,4.55,F1C1,,,,
,,,,,,,,,,,,,
LIME OIL MEXICAN (29448),CAPUA,25/04294,4.7.2025,4.7.2027,,2,5,10,F1C1,,,,
LIME OIL MEXICAN (29448),CAPUA,25/04294,4.7.2025,4.7.2027,,1,4,4,F1C1,,,,
LIME OIL MEXICAN (29448),CAPUA,25/04294,4.7.2025,4.7.2027,,1,0.55,0.55,F1C1,,,,
,,,,,,,,,,,,,
LEMON OIL ITALY TOP GRADE (20998),CAPUA,25/04335,5.9.2025,5.9.2027,,1,8.83,8.83,F1C2,,,,
LEMON OIL ITALY TOP GRADE (20998),CAPUA,25/02501,12.6.2025,12.6.2027,,1,1,1,F1C2,,,,
LEMON OIL ITALY TOP GRADE (20998),CAPUA,25/02501,12.6.2025,12.6.2027,,1,0.15,0.15,F1C2,,,,
,,,,,,,,,,,,,
LEMON OIL 4% CITRAL (25813),CAPUA,24/10274,21.3.2025,21.3.2027,25,1,,25,F1C2,,,,
LEMON OIL 4% CITRAL (25813),CAPUA,24/10274,21.3.2025,21.3.2027,,1,1,1,F1C2,,,,
LEMON OIL 4% CITRAL (25813),CAPUA,24/10274,21.3.2025,21.3.2027,,1,0.69,0.69,F1C2,,,,
,,,,,,,,,,,,,
SICILIAN ORANGE 5 FOLD (21394),CAPUA,25/04538,7.11.2025,7.11.2027,25,1,,25,F1C2,,,,
SICILIAN ORANGE 5 FOLD (21394),CAPUA,25/04538,7.11.2025,7.11.2027,,1,5,5,F1C2,,,,
SICILIAN ORANGE 5 FOLD (21394),CAPUA,25/04538,7.11.2025,7.11.2027,,1,4.8,4.8,F1C2,,,,
,,,,,,,,,,,,,
SICILION ORANGE OIL 10 FOLD (21395),CAPUA,25/04539,7.11.2025,7.11.2027,,2,10,20,F1C2,,,,
SICILION ORANGE OIL 10 FOLD (21395),CAPUA,25/04539,7.11.2025,7.11.2027,,1,5,5,F1C2,,,,
